指令類型,參數說明,使用說明,範例,來源檔案,完整上下文
啟動設定,FM480_UR2,從 Global.ini 的 Settings 區段讀取 FM480_UR2 值,*$(FM480_UR2),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(FM480_UR2),9600"
啟動設定,FM480_UR3,從 Global.ini 的 Settings 區段讀取 FM480_UR3 值,*$(FM480_UR3),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(FM480_UR3),9600"
啟動設定,FM480_UR4,從 Global.ini 的 Settings 區段讀取 FM480_UR4 值,*$(FM480_UR4),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(FM480_UR4),9600"
啟動設定,PCUART_1,從 Global.ini 的 Settings 區段讀取 PCUART_1 值,*$(PCUART_1),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(PCUART_1),9600"
啟動設定,PCUART_2,從 Global.ini 的 Settings 區段讀取 PCUART_2 值,*$(PCUART_2),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(PCUART_2),9600"
啟動設定,PCUART_3,從 Global.ini 的 Settings 區段讀取 PCUART_3 值,*$(PCUART_3),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(PCUART_3),9600"
啟動設定,PCUART_4,從 Global.ini 的 Settings 區段讀取 PCUART_4 值,*$(PCUART_4),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(PCUART_4),9600"
啟動設定,RRat_N1,從 Global.ini 的 Settings 區段讀取 RRat_N1 值,*$(RRat_N1),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",*$(RRat_N1)
READ,根據上下文,執行 READ 相關操作,READ 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",Readrat out
啟動設定,IQ_IP,從 Global.ini 的 Settings 區段讀取 IQ_IP 值,*$(IQ_IP),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(IQ_IP),1,2,*$(IQapt),60000,XelM8_PathLoss.ini"
啟動設定,IQapt,從 Global.ini 的 Settings 區段讀取 IQapt 值,*$(IQapt),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(IQ_IP),1,2,*$(IQapt),60000,XelM8_PathLoss.ini"
啟動設定,GPIB2005,從 Global.ini 的 Settings 區段讀取 GPIB2005 值,*$(GPIB2005),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","GPIB,*$(GPIB2005),4.5"
啟動設定,Chroma6150x,從 Global.ini 的 Settings 區段讀取 Chroma6150x 值,*$(Chroma6150x),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","GPIB,*$(Chroma6150x)"
LOAD,根據上下文,執行 LOAD 相關操作,LOAD 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",ElectronicLoad
ScanBarcode," {Name,Lengh,Pattern} ","調用 ScanBarcode 函數，參數:  {Name,Lengh,Pattern} ","ScanBarcode( {Name,Lengh,Pattern} )","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","ScanBarcode( {Name,Lengh,Pattern} )"
Connection1,"Type,Name,ConnectString","調用 Connection1 函數，參數: Type,Name,ConnectString","Connection1(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection1 (Type,Name,ConnectString)"
CONNECT,根據上下文,執行 CONNECT 相關操作,CONNECT 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection1 (Type,Name,ConnectString)"
Connection2,"Type,Name,ConnectString","調用 Connection2 函數，參數: Type,Name,ConnectString","Connection2(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection2 (Type,Name,ConnectString)"
Connection3,"Type,Name,ConnectString","調用 Connection3 函數，參數: Type,Name,ConnectString","Connection3(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection3 (Type,Name,ConnectString)"
Connection4,"Type,Name,ConnectString","調用 Connection4 函數，參數: Type,Name,ConnectString","Connection4(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection4(Type,Name,ConnectString)"
Connection5,"Type,Name,ConnectString","調用 Connection5 函數，參數: Type,Name,ConnectString","Connection5(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection5(Type,Name,ConnectString)"
Connection6,"Type,Name,ConnectString","調用 Connection6 函數，參數: Type,Name,ConnectString","Connection6(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection6(Type,Name,ConnectString)"
Connection7,"Type,Name,ConnectString","調用 Connection7 函數，參數: Type,Name,ConnectString","Connection7(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection7(Type,Name,ConnectString)"
Connection8,"Type,Name,ConnectString","調用 Connection8 函數，參數: Type,Name,ConnectString","Connection8(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection8(Type,Name,ConnectString)"
Connection9,"Type,Name,ConnectString","調用 Connection9 函數，參數: Type,Name,ConnectString","Connection9(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection9(Type,Name,ConnectString)"
Connection10,"Type,Name,ConnectString","調用 Connection10 函數，參數: Type,Name,ConnectString","Connection10(Type,Name,ConnectString)","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","Connection10(Type,Name,ConnectString)"
啟動設定,LOAD_1,從 Global.ini 的 Settings 區段讀取 LOAD_1 值,*$(LOAD_1),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",*$(LOAD_1)
啟動設定,PCIP_1,從 Global.ini 的 Settings 區段讀取 PCIP_1 值,*$(PCIP_1),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(PCIP_1),*$(DUTIP_1)"
啟動設定,DUTIP_1,從 Global.ini 的 Settings 區段讀取 DUTIP_1 值,*$(DUTIP_1),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","*$(PCIP_1),*$(DUTIP_1)"
啟動設定,DEVID_1,從 Global.ini 的 Settings 區段讀取 DEVID_1 值,*$(DEVID_1),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",*$(DEVID_1)
啟動設定,DUT_UR1,從 Global.ini 的 Settings 區段讀取 DUT_UR1 值,*$(DUT_UR1),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","""Uart"",""UART"",""*$(DUT_UR1),115200,8,One,None,None,10000,5000"""
啟動設定,PCUART_fixture,從 Global.ini 的 Settings 區段讀取 PCUART_fixture 值,*$(PCUART_fixture),"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","""Uart"",""UARTF"",""*$(PCUART_fixture),9600,8,One,None,None,10000,5000"""
SEND,根據上下文,執行 SEND 相關操作,SEND 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",Send
WAIT,根據上下文,執行 WAIT 相關操作,WAIT 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",Waiting
CHECK,根據上下文,執行 CHECK 相關操作,CHECK 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","0,CheckRoute"
SHOW,根據上下文,執行 SHOW 相關操作,SHOW 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",":ShowISN,""*(ISN)"""
