command,parameters,description,example,usage_note,file_names
啟動設定,FM480_UR2,使用 Global.ini 中的 FM480_UR2 變數,*$(FM480_UR2),從 Global.ini 的 Settings 區段讀取 FM480_UR2 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,FM480_UR3,使用 Global.ini 中的 FM480_UR3 變數,*$(FM480_UR3),從 Global.ini 的 Settings 區段讀取 FM480_UR3 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,FM480_UR4,使用 Global.ini 中的 FM480_UR4 變數,*$(FM480_UR4),從 Global.ini 的 Settings 區段讀取 FM480_UR4 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,PCUART_1,使用 Global.ini 中的 PCUART_1 變數,*$(PCUART_1),從 Global.ini 的 Settings 區段讀取 PCUART_1 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,PCUART_2,使用 Global.ini 中的 PCUART_2 變數,*$(PCUART_2),從 Global.ini 的 Settings 區段讀取 PCUART_2 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,PCUART_3,使用 Global.ini 中的 PCUART_3 變數,*$(PCUART_3),從 Global.ini 的 Settings 區段讀取 PCUART_3 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,PCUART_4,使用 Global.ini 中的 PCUART_4 變數,*$(PCUART_4),從 Global.ini 的 Settings 區段讀取 PCUART_4 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,RRat_N1,使用 Global.ini 中的 RRat_N1 變數,*$(RRat_N1),從 Global.ini 的 Settings 區段讀取 RRat_N1 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
READ,根據上下文,READ 指令,READ 相關用法,執行 READ 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,IQ_IP,使用 Global.ini 中的 IQ_IP 變數,*$(IQ_IP),從 Global.ini 的 Settings 區段讀取 IQ_IP 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,IQapt,使用 Global.ini 中的 IQapt 變數,*$(IQapt),從 Global.ini 的 Settings 區段讀取 IQapt 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,GPIB2005,使用 Global.ini 中的 GPIB2005 變數,*$(GPIB2005),從 Global.ini 的 Settings 區段讀取 GPIB2005 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,Chroma6150x,使用 Global.ini 中的 Chroma6150x 變數,*$(Chroma6150x),從 Global.ini 的 Settings 區段讀取 Chroma6150x 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
LOAD,根據上下文,LOAD 指令,LOAD 相關用法,執行 LOAD 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
ScanBarcode," {Name,Lengh,Pattern} ",ScanBarcode 函數調用,"ScanBarcode( {Name,Lengh,Pattern} )","調用 ScanBarcode 函數，參數:  {Name,Lengh,Pattern} ","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection1,"Type,Name,ConnectString",Connection1 函數調用,"Connection1(Type,Name,ConnectString)","調用 Connection1 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
CONNECT,根據上下文,CONNECT 指令,CONNECT 相關用法,執行 CONNECT 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection2,"Type,Name,ConnectString",Connection2 函數調用,"Connection2(Type,Name,ConnectString)","調用 Connection2 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection3,"Type,Name,ConnectString",Connection3 函數調用,"Connection3(Type,Name,ConnectString)","調用 Connection3 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection4,"Type,Name,ConnectString",Connection4 函數調用,"Connection4(Type,Name,ConnectString)","調用 Connection4 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection5,"Type,Name,ConnectString",Connection5 函數調用,"Connection5(Type,Name,ConnectString)","調用 Connection5 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection6,"Type,Name,ConnectString",Connection6 函數調用,"Connection6(Type,Name,ConnectString)","調用 Connection6 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection7,"Type,Name,ConnectString",Connection7 函數調用,"Connection7(Type,Name,ConnectString)","調用 Connection7 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection8,"Type,Name,ConnectString",Connection8 函數調用,"Connection8(Type,Name,ConnectString)","調用 Connection8 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection9,"Type,Name,ConnectString",Connection9 函數調用,"Connection9(Type,Name,ConnectString)","調用 Connection9 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
Connection10,"Type,Name,ConnectString",Connection10 函數調用,"Connection10(Type,Name,ConnectString)","調用 Connection10 函數，參數: Type,Name,ConnectString","Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,LOAD_1,使用 Global.ini 中的 LOAD_1 變數,*$(LOAD_1),從 Global.ini 的 Settings 區段讀取 LOAD_1 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,PCIP_1,使用 Global.ini 中的 PCIP_1 變數,*$(PCIP_1),從 Global.ini 的 Settings 區段讀取 PCIP_1 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,DUTIP_1,使用 Global.ini 中的 DUTIP_1 變數,*$(DUTIP_1),從 Global.ini 的 Settings 區段讀取 DUTIP_1 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,DEVID_1,使用 Global.ini 中的 DEVID_1 變數,*$(DEVID_1),從 Global.ini 的 Settings 區段讀取 DEVID_1 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,DUT_UR1,使用 Global.ini 中的 DUT_UR1 變數,*$(DUT_UR1),從 Global.ini 的 Settings 區段讀取 DUT_UR1 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,PCUART_fixture,使用 Global.ini 中的 PCUART_fixture 變數,*$(PCUART_fixture),從 Global.ini 的 Settings 區段讀取 PCUART_fixture 值,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
SEND,根據上下文,SEND 指令,SEND 相關用法,執行 SEND 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
WAIT,根據上下文,WAIT 指令,WAIT 相關用法,執行 WAIT 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
CHECK,根據上下文,CHECK 指令,CHECK 相關用法,執行 CHECK 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
SHOW,根據上下文,SHOW 指令,SHOW 相關用法,執行 SHOW 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
