sheet,error_code,row_data
Version History,20170718,"{'Version': 'V1.8', 'Release Date': 20170718, 'Describe': 'Added new item as blue markers '}"
Version History,20170727,"{'Version': 'V1.9', 'Release Date': 20170727, 'Describe': 'Added new item as blue markers '}"
Version History,20170905,"{'Version': 'V1.10', 'Release Date': 20170905, 'Describe': 'Added new item as blue markers '}"
Version History,20171102,"{'Version': 'V1.11', 'Release Date': 20171102, 'Describe': '1.Added new item as blue markers\n2.CMRX023;CMRX024;CMRX025 修正中文描述'}"
Version History,20180330,"{'Version': 'V1.12', 'Release Date': 20180330, 'Describe': '1.Added new item as blue markers(Internal Error Code)'}"
Version History,20180522,"{'Version': 'V1.13', 'Release Date': 20180522, 'Describe': '1.Added new item as blue markers'}"
Version History,20181017,"{'Version': 'V1.14', 'Release Date': 20181017, 'Describe': '1.Added new item as blue markers'}"
Version History,20181029,"{'Version': 'V1.15', 'Release Date': 20181029, 'Describe': '1.Added new item as blue markers'}"
Version History,20181031,"{'Version': 'V1.16', 'Release Date': 20181031, 'Describe': '1.Added new Product Type(NB) for TY Factory\n2.Change ROW 1472 error code( the same error code)'}"
Version History,20181114,"{'Version': 'V1.17', 'Release Date': 20181114, 'Describe': '1.Added new item as blue markers'}"
Version History,20181203,"{'Version': 'V1.18', 'Release Date': 20181203, 'Describe': '1.Added new item as blue markers'}"
Version History,20181220,"{'Version': 'V1.19', 'Release Date': 20181220, 'Describe': '1.Added new item as blue markers'}"
Version History,20181226,"{'Version': 'V1.20', 'Release Date': 20181226, 'Describe': '1.Added new item as blue markers'}"
Version History,20190110,"{'Version': 'V1.21', 'Release Date': 20190110, 'Describe': '1.Added new item as blue markers'}"
Version History,20190122,"{'Version': 'V1.22', 'Release Date': 20190122, 'Describe': '1.Added new item as blue markers'}"
Version History,20190320,"{'Version': 'V1.23', 'Release Date': 20190320, 'Describe': '1.Added new item as blue markers'}"
Version History,20190419,"{'Version': 'V1.24', 'Release Date': 20190419, 'Describe': '1.Added new item as blue markers'}"
Version History,20190624,"{'Version': 'V1.25', 'Release Date': 20190624, 'Describe': '1.Added new item as blue markers'}"
Version History,20190821,"{'Version': 'V1.26', 'Release Date': 20190821, 'Describe': '1.Added special error code for Arlo Optical as red markers'}"
Version History,20200103,"{'Version': 'V1.27', 'Release Date': 20200103, 'Describe': '1.Corrected wrong description as red word\n2.Added new item as blue markers'}"
Version History,20200103,"{'Version': 'V1.28', 'Release Date': 20200103, 'Describe': '1.Added new item as blue markers'}"
Version History,20200108,"{'Version': 'V1.29', 'Release Date': 20200108, 'Describe': '1.Added new item as blue markers'}"
Version History,20200522,"{'Version': 'V1.30', 'Release Date': 20200522, 'Describe': '1.Added new item as blue markers'}"
Version History,20200525,"{'Version': 'V1.31', 'Release Date': 20200525, 'Describe': '1.Added new item as blue markers'}"
Version History,20200529,"{'Version': 'V1.32', 'Release Date': 20200529, 'Describe': '1.Added new item as blue markers'}"
Version History,20200603,"{'Version': 'V1.33', 'Release Date': 20200603, 'Describe': '1.Added new item as blue markers'}"
Version History,20201003,"{'Version': 'V1.34', 'Release Date': 20201003, 'Describe': '1.Added new item as blue markers'}"
Version History,20201121,"{'Version': 'V1.35', 'Release Date': 20201121, 'Describe': '1.Added new item as blue markers'}"
Version History,20201224,"{'Version': 'V1.36', 'Release Date': 20201224, 'Describe': '1.Added new item as blue markers'}"
Version History,20210308,"{'Version': 'V1.37', 'Release Date': 20210308, 'Describe': '1.Added new item as blue markers'}"
Version History,20210621,"{'Version': 'V1.38', 'Release Date': 20210621, 'Describe': '1.Added new item as blue markers'}"
Version History,20210709,"{'Version': 'V1.39', 'Release Date': 20210709, 'Describe': '1.Added new item as blue markers'}"
Version History,20210818,"{'Version': 'V1.40', 'Release Date': 20210818, 'Describe': '1.Added new item as blue markers'}"
Version History,20210818,"{'Version': 'V1.41', 'Release Date': 20210818, 'Describe': '1.Added new item as blue markers'}"
Version History,20210910,"{'Version': 'V1.42', 'Release Date': 20210910, 'Describe': '1.Added new item as blue markers'}"
Version History,20211019,"{'Version': 'V1.43', 'Release Date': 20211019, 'Describe': '1.Added new item as blue markers'}"
Version History,20211227,"{'Version': 'V1.44', 'Release Date': 20211227, 'Describe': '1.Added new item as blue markers'}"
Version History,20220303,"{'Version': 'V1.45', 'Release Date': 20220303, 'Describe': '1.Added new item as blue markers'}"
Version History,20220401,"{'Version': 'V1.46', 'Release Date': 20220401, 'Describe': '1.Added new item as blue markers'}"
Version History,20220607,"{'Version': 'V1.47', 'Release Date': 20220607, 'Describe': '1.Add ipcam-als item code'}"
Version History,20220620,"{'Version': 'V1.48', 'Release Date': 20220620, 'Describe': '1. Added ipcam-postf test code\n2. Added vsb3918 test code (Acoustic-- AudioAcoustic)'}"
Version History,20220701,"{'Version': 'V1.49', 'Release Date': 20220701, 'Describe': '1. Added H4 POST RGB test item code'}"
Version History,20220713,"{'Version': 'V1.50', 'Release Date': 20220713, 'Describe': '1. Added TOF item code'}"
Version History,20220906,"{'Version': 'V1.51', 'Release Date': 20220906, 'Describe': '1. Added ALS,RGB,LBS Test item code'}"
Version History,20220926,"{'Version': 'V1.52', 'Release Date': 20220926, 'Describe': '1. Changed Alula sfis error code Rev1.49\n2. Added test item as blue markers (benson1.50)'}"
Version History,20221004,"{'Version': 'V1.53', 'Release Date': 20221004, 'Describe': '1. Added new item as gray markers'}"
Version History,20221018,"{'Version': 'V1.54', 'Release Date': 20221018, 'Describe': '1. Added nura items as gray markers'}"
Version History,20221128,"{'Version': 'V1.55', 'Release Date': 20221128, 'Describe': '1. Added new items as gray markers'}"
Version History,20221209,"{'Version': 'V1.57', 'Release Date': 20221209, 'Describe': '1. Added Error Code  as gray markers'}"
Version History,20230118,"{'Version': 'V1.58', 'Release Date': 20230118, 'Describe': '1.Added Error Code as green markers'}"
Version History,20230131,"{'Version': 'V1.59', 'Release Date': 20230131, 'Describe': '1.Added Error Code as green markers'}"
Version History,20230202,"{'Version': 'V1.60', 'Release Date': 20230202, 'Describe': '1. Added Error Code as orange markers'}"
Version History,20230207,"{'Version': 'V1.61', 'Release Date': 20230207, 'Describe': '1.Added Error Code as purple markers'}"
Version History,20230216,"{'Version': 'V1.62', 'Release Date': 20230216, 'Describe': '1. Added Error Code as Yelow markers'}"
Version History,20230217,"{'Version': 'V1.63', 'Release Date': 20230217, 'Describe': '1. Added Error Code  as Orange markers'}"
Version History,20230217,"{'Version': 'V1.64', 'Release Date': 20230217, 'Describe': '1. Added Error Code  as Orange markers'}"
Version History,20230224,"{'Version': 'V1.65', 'Release Date': 20230224, 'Describe': '1. Added Error Code  as Chocolate markers'}"
Version History,20230302,"{'Version': 'V1.66', 'Release Date': 20230302, 'Describe': '1. Added Error Code  as Blue markers'}"
Version History,20230308,"{'Version': 'V1.67', 'Release Date': 20230308, 'Describe': '1. Added Error Code  as dark green markers'}"
Version History,20230309,"{'Version': 'V1.68', 'Release Date': 20230309, 'Describe': '1. Added Error Code as Blue markers'}"
Version History,20230310,"{'Version': 'V1.69', 'Release Date': 20230310, 'Describe': '1. Added Error Code  as Gray markers'}"
Version History,20230315,"{'Version': 'V1.70', 'Release Date': 20230315, 'Describe': '1. Added Error Code  as Pink markers'}"
Version History,20230316,"{'Version': 'V1.71', 'Release Date': 20230316, 'Describe': '1. Added Error Code as Blue markers'}"
Version History,20230329,"{'Version': 'V1.72', 'Release Date': 20230329, 'Describe': '1. Added Error Code  as Green markers\n2. Changed Error Code as gray markers 1.72'}"
Version History,20230410,"{'Version': 'V1.73', 'Release Date': 20230410, 'Describe': '1. Added Error Code  as Gray markers'}"
Version History,20230426,"{'Version': 'V1.74', 'Release Date': 20230426, 'Describe': '1. Added Error Code  as Orange markers'}"
Version History,20230504,"{'Version': 'V1.75', 'Release Date': 20230504, 'Describe': '1. Added Error Code  as Blue markers'}"
Version History,20230515,"{'Version': 'V1.76', 'Release Date': 20230515, 'Describe': '1. Added Error Code  as Green markers'}"
Version History,20230526,"{'Version': 'V1.77', 'Release Date': 20230526, 'Describe': '1. Added Error Code  as Blue markers'}"
Version History,20230608,"{'Version': 'V1.78', 'Release Date': 20230608, 'Describe': '1. Added Error Code  as green markers'}"
Version History,20230707,"{'Version': 'V1.79', 'Release Date': 20230707, 'Describe': '1. Added Error Code  as orange markers'}"
Version History,20230802,"{'Version': 'V1.80', 'Release Date': 20230802, 'Describe': '1. Added Error Code  as green markers'}"
Version History,20230802,"{'Version': 'V1.81', 'Release Date': 20230802, 'Describe': '1. Added Error Code for alula as red markers'}"
Version History,20230913,"{'Version': 'V1.82', 'Release Date': 20230913, 'Describe': '1. Added Error Code for alula as red markers'}"
Version History,20231027,"{'Version': 'V1.83', 'Release Date': 20231027, 'Describe': '1. Added Error Code for alula as green markers'}"
Version History,20231103,"{'Version': 'V1.84', 'Release Date': 20231103, 'Describe': '1. Added Error Code for alula as yelow markers'}"
Version History,20231116,"{'Version': 'V1.85', 'Release Date': 20231116, 'Describe': '1. Added Error Code for NURA4k as PURPLE markers'}"
Version History,20231128,"{'Version': 'V1.86', 'Release Date': 20231128, 'Describe': '1. Added Error Code for Alula as Gray markers'}"
Version History,20231209,"{'Version': 'V1.87', 'Release Date': 20231209, 'Describe': '1. Added Error Code for Alula as Green markers'}"
Version History,20240126,"{'Version': 'V1.88', 'Release Date': 20240126, 'Describe': '1. Added Error Code for Rapotr as Gray markers'}"
Version History,20240327,"{'Version': 'V1.89', 'Release Date': 20240327, 'Describe': '1. Added Error Code for Rapotr3 as Green markers'}"
Version History,20240417,"{'Version': 'V1.90', 'Release Date': 20240417, 'Describe': '1. Added Error Code for Rapotr2 as Purple markers'}"
Version History,20240529,"{'Version': 'V1.91', 'Release Date': 20240529, 'Describe': '1. Added Error Code for Rapotr3 as PINK markers'}"
Version History,20240711,"{'Version': 'V1.92', 'Release Date': 20240711, 'Describe': '1. Added Error Code for kangaroo'}"
Version History,20240715,"{'Version': 'V1.93', 'Release Date': 20240715, 'Describe': '1. Added Error Code for Hal as Gray Markers'}"
Version History,20240715,"{'Version': 'V1.94', 'Release Date': 20240715, 'Describe': '1. Added Error Code for garoo as green Markers'}"
Version History,20240608,"{'Version': 'V1.95', 'Release Date': 20240608, 'Describe': '1. Added Error Code for oradeo as purple Markers'}"
Version History,20240830,"{'Version': 'V1.96', 'Release Date': 20240830, 'Describe': '1. Added Error Code for HALOW as BLUE Markers'}"
Version History,20240906,"{'Version': 'V1.97', 'Release Date': 20240906, 'Describe': '1. Added Error Code for HALOW as Gray Markers'}"
Version History,20240910,"{'Version': 'V1.98', 'Release Date': 20240910, 'Describe': '1. Added Error Code for HALOW as Blue Markers'}"
Version History,20241015,"{'Version': 'V1.99', 'Release Date': 20241015, 'Describe': '1. Added Error Code as Green Markers'}"
Version History,20241106,"{'Version': 'V2.00', 'Release Date': 20241106, 'Describe': '1. Added Error Code as Green Markers'}"
Version History,20241114,"{'Version': 'V2.01', 'Release Date': 20241114, 'Describe': '1. Added Error Code as blue Markers'}"
